scraped_ts,category,product_name,company,price_raw,city,state,rating,product_url
2025-04-24T06:51:02,tractor,"8 F + 2 R Mf8055 Massey Ferguson Tractor, 2 Wd, 50 Hp",,,,,,
2025-04-24T06:51:02,tractor,Deutz Fahr Tractor Agrolux 75 Profiline 4wd,,,,,,
2025-04-24T06:51:02,tractor,"Solis Yanmar Tractor, 24 to 55 HP, 4WD",,,,,,
2025-04-24T06:51:03,tractor,"Sonalika Rx-47 Tractor 40 Hp, 4 Wd",,,,,,
2025-04-24T06:51:03,tractor,"36 To 80 Hp Multiple Plate Clutch Deutz Fahr Tractor, For Agriculture And Industrial",,,,,,
2025-04-24T06:51:03,tractor,Farmtrac Tractor 40 Hp,,,,,,
2025-04-24T06:51:03,tractor,"Used Swaraj 735 Tractor with Dala for Sale in Muzaffarpur, Bihar, 42 HP",,,,,,
2025-04-24T06:51:03,tractor,"Used Swaraj 735 Tractor With Dala For Sale In Ranchi, Jharkhand, 42 Hp",,,,,,
2025-04-24T06:51:03,tractor,"Used Swaraj 735 Tractor With Dala For Sale In Kolkata, West Bengal, 42 Hp",,,,,,
2025-04-24T06:51:03,tractor,Single Axle 2 Wheel Trolley,,,,,,
2025-04-24T06:51:03,tractor,Sonalika Tractor Tiger 65,,,,,,
2025-04-24T06:51:03,tractor,Tractor Tiger 50,,,,,,
2025-04-24T06:51:03,tractor,"Sonalika Tractor 740iii Tractor, 4 Wd",,,,,,
2025-04-24T06:51:03,tractor,Holland Tractor Model 45 HP,,,,,,
2025-04-24T06:51:03,tractor,"Tt 75 Hp New Holland Tractor, 7500",,,,,,
2025-04-24T06:51:03,tractor,Tt90 New Holland Tractor 90 Hp,,,,,,
2025-04-24T06:51:03,tractor,"49.5 Hp New Holland Tractor Model 3630 2wd/4wd, 3630tx",,,,,,
2025-04-24T06:51:03,tractor,Massey Ferguson 9500 Tractor 58 HP,,,,,,
2025-04-24T06:51:03,tractor,"Massey Ferguson 2635 75 Hp 4wd Tractor, Cubic Capacity: 3600 Cc",,,,,,
2025-04-24T06:51:03,tractor,Massey Ferguson 5245 Di 50 Hp 4wd Tractor,,,,,,
2025-04-24T06:51:03,tractor,Massey Ferguson 245 Smart 4wd Tractor 46 Hp,,,,,,
2025-04-24T06:51:03,tractor,"Vst Shakti Mt 171 Di Samraat Tractor, 2WD",,,,,,
2025-04-24T06:51:03,tractor,"Mini Tractor - Vst Shakti Vt-180d Hs/jai-4w, Below 20 Hp, 4wd",,,,,,
2025-04-24T06:51:03,tractor,"22hp Vst Shakti Mt 224- 1d Mini Tractor, 4wd",,,,,,
2025-04-24T06:51:03,tractor,"Vst Shakti 932 Idi Mini Tractor, 4wd",,,,,,
2025-04-24T06:51:03,tractor,"Eicher 5660 Steel Cooling Fan, For Tractor Spares",,,,,,
2025-04-24T06:51:03,tractor,Mahindra Arjun Novo 605 Di PS - 52 HP,,,,,,
2025-04-24T06:51:03,tractor,"Mahindra 275 Yuvo Tech +, 39 Hp",,,,,,
2025-04-24T06:51:03,tractor,Mahindra Arjun Novo 605 Di Ms - 49.9 Hp,,,,,,
2025-04-24T06:51:03,tractor,"Mahindra 605 Di Arjun Novo Tractor, 57 Hp, 4wd",,,,,,
2025-04-24T06:51:03,tractor,"Mahindra Yuvo 265 DI Tractor, 32 HP",,,,,,
2025-04-24T06:51:04,tractor,Mahindra Yuvo 585 Di Tractor,,,,,,
2025-04-24T06:51:04,tractor,39 Hp Mahindra 275 Di Tu Xp Plus Tractor,,,,,,
2025-04-24T06:51:04,tractor,47 Hp Mahindra Yuvo 575 Di Tractor,,,,,,
